Freenom_TLD,Suspecious_TLD,Word_ratio,Contain_number,Length_of_domain,Contain_dash,Number_of_sub_domain,Contain_IP
0,0,0.1,0,8,0,3,0
0,0,0.07407407407407407,0,10,0,3,0
0,0,0.15384615384615385,0,4,0,2,0
0,0,0.18181818181818182,0,5,1,2,0
0,0,0.2222222222222222,0,4,0,2,0
0,0,0.2222222222222222,0,3,0,2,0
0,0,0.15384615384615385,0,5,0,2,0
0,0,0.25,0,4,0,2,0
0,0,0.16666666666666666,0,5,0,2,0
0,0,0.18181818181818182,0,3,0,2,0
0,0,0.25,0,2,0,1,0
0,0,0.05555555555555555,0,10,0,3,0
0,0,0.16666666666666666,0,6,0,2,0
0,0,0.2857142857142857,0,3,0,2,0
0,0,0.06666666666666667,0,6,0,3,0
0,0,0.1,0,6,0,3,0
0,0,0.09523809523809523,0,7,0,3,0
0,0,0.2222222222222222,0,4,0,2,0
0,0,0.2222222222222222,0,4,0,2,0
0,0,0.08695652173913043,0,9,0,3,0
0,0,0.18181818181818182,0,5,0,2,0
0,0,0.1111111111111111,0,7,0,3,0
0,0,0.125,0,3,1,1,0
0,0,0.13333333333333333,0,5,1,2,0
0,0,0.2,0,2,0,1,0
0,0,0.25,0,4,0,2,0
0,0,0.2222222222222222,0,4,0,2,0
0,0,0.15384615384615385,0,4,1,1,0
0,0,0.25,0,3,0,1,0
0,0,0.2222222222222222,0,4,0,2,0
0,0,0.13333333333333333,0,4,0,3,0
0,0,0.25,0,3,0,2,0
0,0,0.5,0,2,0,1,0
0,0,0.06451612903225806,0,11,0,3,0
0,0,0.5,0,2,0,1,0
0,0,0.06060606060606061,0,9,0,4,0
0,0,0.2,0,2,0,1,0
0,0,0.25,0,4,0,2,0
0,0,0.4,0,2,0,1,0
0,0,0.25,0,2,0,1,0
0,0,0.1,0,5,0,2,0
0,0,0.14285714285714285,0,6,0,3,0
0,0,0.11764705882352941,0,5,0,3,0
0,0,0.4,0,2,0,1,0
0,0,0.15384615384615385,0,4,0,2,0
0,0,0.07407407407407407,0,7,1,3,0
0,0,0.18181818181818182,0,3,0,1,0
0,0,0.2,0,2,0,1,0
0,0,0.1111111111111111,0,6,0,2,0
0,0,0.07407407407407407,0,6,0,2,0
0,0,0.2222222222222222,0,4,0,2,0
0,0,0.125,0,5,0,2,0
0,0,0.2222222222222222,0,2,0,1,0
0,0,0.16666666666666666,0,3,1,1,0
0,0,0.125,0,4,1,2,0
0,0,0.14285714285714285,0,3,0,1,0
0,0,0.07692307692307693,0,6,1,3,0
0,0,0.07142857142857142,0,4,1,2,0
0,0,0.07407407407407407,0,4,1,2,0
0,0,0.0625,0,8,1,3,0
0,0,0.08695652173913043,0,4,1,2,0
0,0,0.08695652173913043,0,4,1,2,0
0,0,0.125,0,3,0,2,0
0,0,0.06451612903225806,0,7,0,4,0
0,0,0.07142857142857142,0,5,0,4,0
0,0,0.09090909090909091,0,3,0,2,0
0,0,0.07407407407407407,0,5,0,4,0
0,0,0.09090909090909091,0,5,0,3,0
0,0,0.0625,0,6,0,3,0
0,0,0.16666666666666666,0,2,0,1,0
0,0,0.09523809523809523,0,4,0,3,0
0,0,0.09523809523809523,0,4,0,2,0
0,0,0.08333333333333333,0,4,0,3,0
0,0,0.16666666666666666,0,2,0,1,0
0,0,0.10526315789473684,0,4,0,3,0
0,0,0.09090909090909091,0,6,0,3,0
0,0,0.125,0,3,0,2,0
0,0,0.15384615384615385,0,2,0,1,0
0,0,0.07692307692307693,0,6,0,4,0
0,0,0.06666666666666667,0,8,0,4,0
0,0,0.07142857142857142,0,8,0,4,0
0,0,0.11764705882352941,0,4,0,2,0
0,0,0.09090909090909091,0,6,0,3,0
0,0,0.08695652173913043,0,5,0,3,0
0,0,0.125,0,3,0,2,0
0,0,0.10526315789473684,0,4,0,3,0
0,0,0.07407407407407407,0,6,0,4,0
0,0,0.08,0,7,0,3,0
0,0,0.07407407407407407,0,5,0,4,0
0,0,0.1111111111111111,0,3,0,2,0
0,0,0.10526315789473684,0,4,0,3,0
0,0,0.08,0,7,0,3,0
0,0,0.1,0,3,0,2,0
0,0,0.1111111111111111,0,3,0,2,0
0,0,0.10526315789473684,0,4,0,3,0
0,0,0.10526315789473684,0,4,0,3,0
0,0,0.09090909090909091,0,5,0,3,0
0,0,0.125,0,3,0,2,0
0,0,0.10526315789473684,0,4,0,3,0
0,0,0.08,0,4,0,3,0
0,0,0.09523809523809523,0,5,0,3,0
0,0,0.10526315789473684,0,4,0,3,0
0,0,0.08,0,6,0,3,0
0,0,0.09090909090909091,0,5,0,3,0
0,0,0.09523809523809523,0,5,0,3,0
0,0,0.1,0,5,0,3,0
0,0,0.07692307692307693,0,5,0,3,0
0,0,0.1,0,4,0,3,0
0,0,0.1111111111111111,0,3,0,2,0
0,0,0.1111111111111111,0,3,0,2,0
0,0,0.1,0,4,0,2,0
0,0,0.08333333333333333,0,5,0,2,0
0,0,0.08695652173913043,0,5,0,2,0
